dropped_group,n_features,qwk,severe_recall,macro_f1,delta_qwk,delta_severe_recall
(none),82,0.952258,0.927298,0.785024,0,0
raw_numeric,69,0.953261,0.927298,0.791872,0.001,0
ordinal_codes,77,0.952352,0.923153,0.788011,0.0001,-0.0041
boolean_flags,69,0.952949,0.923131,0.787469,0.0007,-0.0042
nominal,74,0.955016,0.933527,0.798033,0.0028,0.0062
date_parts,77,0.953542,0.927298,0.788232,0.0013,0
composite_financial,75,0.950291,0.923174,0.777304,-0.002,-0.0041
composite_impact,76,0.951613,0.931465,0.785963,-0.0006,0.0042
composite_vulnerability,80,0.954019,0.931443,0.792707,0.0018,0.0041
composite_failure,79,0.953059,0.925215,0.790249,0.0008,-0.0021
interactions,79,0.952706,0.927298,0.785365,0.0004,0
internal_proxies,77,0.887089,0.877405,0.574927,-0.0652,-0.0499
missing_indicators,70,0.955464,0.931443,0.797874,0.0032,0.0041
