qwk,mae,macro_f1,balanced_accuracy,accuracy,exact_or_adjacent,severe_recall,severe_precision,severe_f1,severe_missed,non_severe_progressed,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,severe_roc_auc,severe_pr_auc,severe_brier,log_loss,fold,repeat,model
0.930408,0.296875,0.675734,0.678124,0.709375,0.99375,0.895833,0.851485,0.873096,10,15,0.888889,0.721519,0.59375,0.583333,0.71875,0.5625,0.980887,0.959084,0.0533543,0.688739,0,0,logistic
0.943991,0.240625,0.724857,0.722163,0.7625,0.996875,0.958333,0.938776,0.948454,4,6,0.925926,0.75641,0.692308,0.708333,0.6875,0.5625,0.992374,0.985571,0.0282459,0.588368,1,0,logistic
0.937306,0.284375,0.701196,0.713879,0.715625,1,0.927083,0.89,0.908163,7,11,0.876543,0.641026,0.661538,0.666667,0.625,0.8125,0.991629,0.980839,0.0347232,0.663265,2,0,logistic
0.939132,0.259375,0.724095,0.732978,0.746875,0.99375,0.9375,0.891089,0.913706,6,11,0.9,0.683544,0.692308,0.765957,0.606061,0.75,0.989118,0.974317,0.0385576,0.645797,3,0,logistic
0.929039,0.3125,0.662928,0.66408,0.6875,1,0.865979,0.903226,0.884211,13,9,0.85,0.658228,0.65625,0.659574,0.454545,0.705882,0.984975,0.970726,0.0440908,0.639341,4,0,logistic
0.933426,0.28125,0.690205,0.696317,0.728125,0.990625,0.875,0.903226,0.888889,12,9,0.925926,0.658228,0.75,0.5625,0.65625,0.625,0.983026,0.965239,0.0499069,0.68625,0,1,logistic
0.935575,0.278125,0.72614,0.730359,0.725,0.996875,0.916667,0.871287,0.893401,8,13,0.876543,0.692308,0.615385,0.666667,0.65625,0.875,0.985445,0.96576,0.04484,0.638253,1,1,logistic
0.937522,0.265625,0.719565,0.715481,0.7375,0.996875,0.947917,0.90099,0.923858,5,10,0.864198,0.705128,0.692308,0.75,0.59375,0.6875,0.990188,0.97689,0.0354234,0.668624,2,1,logistic
0.929522,0.2875,0.693571,0.685797,0.71875,0.99375,0.84375,0.920455,0.880435,15,7,0.875,0.683544,0.738462,0.617021,0.575758,0.625,0.985026,0.971603,0.042706,0.684371,3,1,logistic
0.938868,0.26875,0.711933,0.720946,0.7375,0.99375,0.958763,0.845455,0.898551,4,17,0.9125,0.797468,0.578125,0.638298,0.575758,0.823529,0.991216,0.982443,0.0400664,0.64512,4,1,logistic
0.94101,0.25625,0.735272,0.734945,0.74375,1,0.927083,0.936842,0.931937,7,6,0.851852,0.708861,0.703125,0.708333,0.6875,0.75,0.993257,0.985139,0.0303693,0.59349,0,2,logistic
0.93505,0.271875,0.698708,0.689197,0.728125,1,0.895833,0.886598,0.891192,10,11,0.839506,0.717949,0.692308,0.729167,0.65625,0.5,0.981399,0.962878,0.0497253,0.635451,1,2,logistic
0.93454,0.26875,0.717159,0.72379,0.74375,0.9875,0.947917,0.892157,0.919192,5,11,0.901235,0.717949,0.692308,0.6875,0.59375,0.75,0.991676,0.984865,0.0354971,0.631466,2,2,logistic
0.943016,0.25,0.737294,0.740676,0.753125,0.996875,0.916667,0.888889,0.902564,8,11,0.925,0.683544,0.707692,0.680851,0.69697,0.75,0.986375,0.966455,0.0424326,0.604165,3,2,logistic
0.933952,0.296875,0.687307,0.704434,0.70625,0.996875,0.907216,0.897959,0.902564,9,10,0.825,0.696203,0.703125,0.574468,0.545455,0.882353,0.988997,0.975992,0.0388248,0.666562,4,2,logistic
0.947852,0.225,0.762465,0.76908,0.778125,0.996875,0.875,0.903226,0.888889,12,9,0.876543,0.78481,0.765625,0.625,0.75,0.8125,0.9867,0.972231,0.0488763,0.525762,0,0,ordered_logit
0.958512,0.18125,0.80464,0.801354,0.81875,1,0.958333,0.958333,0.958333,4,4,0.901235,0.871795,0.753846,0.75,0.71875,0.8125,0.995908,0.991596,0.0209247,0.489075,1,0,ordered_logit
0.949438,0.225,0.772896,0.776487,0.775,1,0.947917,0.892157,0.919192,5,11,0.888889,0.692308,0.692308,0.791667,0.84375,0.75,0.993676,0.985759,0.0313547,0.527307,2,0,ordered_logit
0.954652,0.196875,0.809437,0.816458,0.80625,0.996875,0.958333,0.901961,0.929293,4,10,0.9375,0.746835,0.723077,0.765957,0.787879,0.9375,0.994978,0.989963,0.0304121,0.484266,3,0,ordered_logit
0.950835,0.21875,0.775682,0.78475,0.78125,1,0.896907,0.925532,0.910995,10,7,0.9125,0.746835,0.75,0.723404,0.575758,1,0.988489,0.977546,0.0374482,0.499424,4,0,ordered_logit
0.955954,0.2,0.787112,0.801467,0.8,1,0.916667,0.946237,0.931217,8,5,0.901235,0.772152,0.8125,0.666667,0.71875,0.9375,0.993211,0.986355,0.0289069,0.474915,0,1,ordered_logit
0.952586,0.20625,0.800189,0.801936,0.79375,1,0.96875,0.911765,0.939394,3,9,0.82716,0.75641,0.738462,0.833333,0.84375,0.8125,0.992932,0.984052,0.031407,0.480401,1,1,ordered_logit
0.949008,0.225,0.756651,0.759206,0.775,1,0.90625,0.925532,0.915789,9,7,0.888889,0.782051,0.738462,0.708333,0.625,0.8125,0.992188,0.981849,0.0345367,0.537943,2,1,ordered_logit
0.951748,0.196875,0.80439,0.801698,0.809375,0.99375,0.916667,0.956522,0.93617,8,4,0.925,0.721519,0.815385,0.808511,0.727273,0.8125,0.992467,0.986038,0.0279923,0.509192,3,1,ordered_logit
0.958804,0.1875,0.82232,0.829439,0.8125,1,0.958763,0.902913,0.93,4,10,0.925,0.78481,0.671875,0.744681,0.909091,0.941176,0.994036,0.987817,0.032644,0.471965,4,1,ordered_logit
0.959626,0.175,0.81435,0.811763,0.825,1,0.958333,0.948454,0.953368,4,5,0.901235,0.797468,0.828125,0.8125,0.71875,0.8125,0.996047,0.991237,0.0235648,0.441797,0,2,ordered_logit
0.94775,0.225,0.78457,0.78439,0.775,1,0.90625,0.878788,0.892308,9,12,0.851852,0.75641,0.723077,0.75,0.6875,0.9375,0.987398,0.973172,0.0452292,0.493611,1,2,ordered_logit
0.955494,0.2,0.794881,0.803386,0.8,1,0.958333,0.901961,0.929293,4,10,0.925926,0.717949,0.707692,0.8125,0.84375,0.8125,0.994001,0.988747,0.0279739,0.507375,2,2,ordered_logit
0.962317,0.16875,0.817727,0.821894,0.83125,1,0.958333,0.92,0.938776,4,8,0.9625,0.810127,0.769231,0.787234,0.727273,0.875,0.992141,0.982012,0.0338503,0.487119,3,2,ordered_logit
0.952559,0.21875,0.78642,0.802073,0.78125,1,0.927835,0.957447,0.942408,7,4,0.8625,0.746835,0.734375,0.680851,0.787879,1,0.995238,0.990054,0.0247921,0.508762,4,2,ordered_logit
0.945284,0.225,0.767933,0.765113,0.78125,0.99375,0.864583,0.892473,0.878307,13,10,0.876543,0.797468,0.75,0.666667,0.75,0.75,0.983491,0.957138,0.0541895,0.711541,0,0,frank_hall
0.958289,0.178125,0.802294,0.804825,0.825,0.996875,0.96875,0.958763,0.963731,3,4,0.888889,0.884615,0.784615,0.770833,0.6875,0.8125,0.995815,0.990551,0.0214715,0.556039,1,0,frank_hall
