,missing,missing_pct,dtype
FailureTypeSecondary,36,7.2,object
Jurisdiction,34,6.8,object
PrimaryVulnerability,32,6.4,object
EvidenceStrength,16,3.2,object
EstimatedImpactScore,16,3.2,float64
RecoveryTimeMonths,16,3.2,float64
EmotionalImpactLevel,14,2.8,object
ExpectedFinancialRedressGBP,14,2.8,float64
PhysicalImpactLevel,11,2.2,object
AdditionalCostsGBP,10,2,float64
ServiceArea,9,1.8,object
OrganisationType,7,1.4,object
DurationAffectedDays,2,0.4,float64
CaseComplexityScore,2,0.4,float64
DelayInResolutionDays,2,0.4,float64
DirectFinancialLossGBP,2,0.4,float64
NumberOfDependentsAffected,2,0.4,float64
LostIncomeGBP,2,0.4,float64
EstimatedRiskScore,2,0.4,float64
NumberOfOrganisationsInvolved,2,0.4,float64
NumberOfServiceFailures,2,0.4,float64
PriorComplaintsRaised,2,0.4,float64
RepeatFailuresCount,2,0.4,float64
