,missing,missing_pct,dtype
FailureTypeSecondary,172,8.6,object
PrimaryVulnerability,127,6.35,object
Jurisdiction,112,5.6,object
ExpectedFinancialRedressGBP,58,2.9,float64
EvidenceStrength,58,2.9,object
RecoveryTimeMonths,56,2.8,float64
PhysicalImpactLevel,47,2.35,object
AdditionalCostsGBP,38,1.9,float64
OrganisationType,38,1.9,object
EmotionalImpactLevel,36,1.8,object
EstimatedImpactScore,33,1.65,float64
ServiceArea,30,1.5,object
DurationAffectedDays,2,0.1,float64
CaseComplexityScore,2,0.1,float64
DelayInResolutionDays,2,0.1,float64
DirectFinancialLossGBP,2,0.1,float64
NumberOfDependentsAffected,2,0.1,float64
LostIncomeGBP,2,0.1,float64
EstimatedRiskScore,2,0.1,float64
NumberOfOrganisationsInvolved,2,0.1,float64
NumberOfServiceFailures,2,0.1,float64
PriorComplaintsRaised,2,0.1,float64
RepeatFailuresCount,2,0.1,float64
