CaseReference,column,value,reason
HLD-000077,AdditionalCostsGBP,62000,"outside [0, 50000]"
HLD-000337,AdditionalCostsGBP,-250,"outside [0, 50000]"
HLD-000163,CaseComplexityScore,12,"outside [1, 10]"
HLD-000457,CaseComplexityScore,0,"outside [1, 10]"
HLD-000197,DelayInResolutionDays,2400,"outside [0, 2000]"
HLD-000498,DelayInResolutionDays,-8,"outside [0, 2000]"
HLD-000330,DirectFinancialLossGBP,-100,"outside [0, 100000]"
HLD-000410,DirectFinancialLossGBP,125000,"outside [0, 100000]"
HLD-000109,DurationAffectedDays,0,"outside [1, 3000]"
HLD-000439,DurationAffectedDays,3650,"outside [1, 3000]"
HLD-000133,EstimatedImpactScore,108,"outside [1, 100]"
HLD-000423,EstimatedImpactScore,0,"outside [1, 100]"
HLD-000478,EstimatedRiskScore,115,"outside [1, 100]"
HLD-000495,EstimatedRiskScore,-3,"outside [1, 100]"
HLD-000010,ExpectedFinancialRedressGBP,90000,"outside [0, 75000]"
HLD-000322,ExpectedFinancialRedressGBP,-50,"outside [0, 75000]"
HLD-000048,LostIncomeGBP,130000,"outside [0, 100000]"
HLD-000433,LostIncomeGBP,-500,"outside [0, 100000]"
HLD-000098,NumberOfDependentsAffected,12,"outside [0, 10]"
HLD-000168,NumberOfDependentsAffected,-1,"outside [0, 10]"
HLD-000448,NumberOfOrganisationsInvolved,7,"outside [1, 5]"
HLD-000478,NumberOfOrganisationsInvolved,0,"outside [1, 5]"
HLD-000059,NumberOfServiceFailures,24,"outside [1, 20]"
HLD-000433,NumberOfServiceFailures,0,"outside [1, 20]"
HLD-000182,PriorComplaintsRaised,18,"outside [0, 15]"
HLD-000463,PriorComplaintsRaised,-1,"outside [0, 15]"
HLD-000179,RecoveryTimeMonths,144,"outside [0, 120]"
HLD-000181,RecoveryTimeMonths,-1,"outside [0, 120]"
HLD-000082,RepeatFailuresCount,-1,"outside [0, 10]"
HLD-000364,RepeatFailuresCount,13,"outside [0, 10]"
