CaseReference,column,value,reason
TRN-000464,AdditionalCostsGBP,-250,"outside [0, 50000]"
TRN-001376,AdditionalCostsGBP,62000,"outside [0, 50000]"
TRN-000257,CaseComplexityScore,0,"outside [1, 10]"
TRN-001343,CaseComplexityScore,12,"outside [1, 10]"
TRN-001230,DelayInResolutionDays,2400,"outside [0, 2000]"
TRN-001483,DelayInResolutionDays,-8,"outside [0, 2000]"
TRN-000193,DirectFinancialLossGBP,125000,"outside [0, 100000]"
TRN-000910,DirectFinancialLossGBP,-100,"outside [0, 100000]"
TRN-000880,DurationAffectedDays,0,"outside [1, 3000]"
TRN-001151,DurationAffectedDays,3650,"outside [1, 3000]"
TRN-001407,EstimatedImpactScore,108,"outside [1, 100]"
TRN-001761,EstimatedImpactScore,0,"outside [1, 100]"
TRN-000388,EstimatedRiskScore,-3,"outside [1, 100]"
TRN-001180,EstimatedRiskScore,115,"outside [1, 100]"
TRN-000568,ExpectedFinancialRedressGBP,90000,"outside [0, 75000]"
TRN-001348,ExpectedFinancialRedressGBP,-50,"outside [0, 75000]"
TRN-000596,LostIncomeGBP,130000,"outside [0, 100000]"
TRN-001088,LostIncomeGBP,-500,"outside [0, 100000]"
TRN-000193,NumberOfDependentsAffected,-1,"outside [0, 10]"
TRN-001830,NumberOfDependentsAffected,12,"outside [0, 10]"
TRN-000466,NumberOfOrganisationsInvolved,0,"outside [1, 5]"
TRN-001792,NumberOfOrganisationsInvolved,7,"outside [1, 5]"
TRN-000944,NumberOfServiceFailures,24,"outside [1, 20]"
TRN-001300,NumberOfServiceFailures,0,"outside [1, 20]"
TRN-000125,PriorComplaintsRaised,18,"outside [0, 15]"
TRN-001066,PriorComplaintsRaised,-1,"outside [0, 15]"
TRN-000216,RecoveryTimeMonths,-1,"outside [0, 120]"
TRN-001247,RecoveryTimeMonths,144,"outside [0, 120]"
TRN-000101,RepeatFailuresCount,13,"outside [0, 10]"
TRN-001861,RepeatFailuresCount,-1,"outside [0, 10]"
