model,label,ordinal_aware,fit_seconds,qwk,qwk_std,mae,mae_std,macro_f1,macro_f1_std,balanced_accuracy,balanced_accuracy_std,accuracy,accuracy_std,exact_or_adjacent,exact_or_adjacent_std,severe_recall,severe_recall_std,severe_precision,severe_precision_std,severe_f1,severe_f1_std,severe_missed,severe_missed_std,non_severe_progressed,non_severe_progressed_std,recall_1,recall_1_std,recall_2,recall_2_std,recall_3,recall_3_std,recall_4,recall_4_std,recall_5,recall_5_std,recall_6,recall_6_std,severe_roc_auc,severe_roc_auc_std,severe_pr_auc,severe_pr_auc_std,severe_brier,severe_brier_std,log_loss,log_loss_std,complexity
stacked,Stacked ensemble,False,625.19,0.955865,0.00398008,0.192292,0.0157525,0.803486,0.0153716,0.803498,0.0159321,0.808542,0.0155115,0.999167,0.00185505,0.926554,0.0297559,0.933131,0.0290715,0.92943,0.0216219,7.06667,2.86523,6.46667,2.97289,0.907459,0.0377645,0.778578,0.0556936,0.772949,0.0498033,0.76185,0.0558992,0.75726,0.0561647,0.842892,0.0847352,0.992549,0.0030211,0.984483,0.00591224,0.0315539,0.00750266,0.491348,0.0229596,7
ordered_logit,Proportional-odds (ordered) logit,True,6.87177,0.953809,0.0045664,0.203333,0.0192807,0.792915,0.0200431,0.797692,0.0195504,0.7975,0.0193433,0.999167,0.00185505,0.934178,0.0292897,0.922055,0.0260042,0.927695,0.0196754,6.33333,2.82,7.66667,2.74296,0.899198,0.0350643,0.765888,0.0432077,0.748269,0.0447618,0.750709,0.0605763,0.75101,0.0879878,0.871078,0.0802167,0.992627,0.00293095,0.984562,0.00617269,0.0319942,0.00751509,0.495928,0.0247514,2
random_forest,Random forest,False,64.1985,0.953175,0.00461444,0.199167,0.0177747,0.791618,0.0207957,0.786856,0.0207255,0.803333,0.0173779,0.9975,0.00242061,0.912708,0.0308469,0.943968,0.026247,0.927708,0.0215188,8.4,2.97129,5.26667,2.54858,0.916543,0.0337403,0.782863,0.0479701,0.774006,0.0443422,0.733836,0.0774084,0.753346,0.0921519,0.760539,0.0826753,0.991244,0.00342589,0.981902,0.00636378,0.0399488,0.00454738,0.645676,0.0141633,3
frank_hall,Frank and Hall ordinal decomposition (HistGB base),True,451.937,0.952679,0.00492307,0.20625,0.0214239,0.789636,0.0223994,0.79412,0.0203482,0.79625,0.0213652,0.9975,0.00242061,0.917526,0.0318665,0.922387,0.03143,0.919422,0.022164,7.93333,3.05817,7.53333,3.33524,0.919907,0.0347359,0.761636,0.0535739,0.74508,0.0556516,0.725502,0.0699878,0.740783,0.0598643,0.871814,0.0683844,0.990776,0.00334034,0.980223,0.00799672,0.0366124,0.00836773,0.634833,0.075129,6
lightgbm_tuned,LightGBM (tuned),False,24.7683,0.952508,0.00433996,0.204583,0.0169882,0.794344,0.0174635,0.79781,0.0175081,0.798333,0.0171922,0.997083,0.00276161,0.920289,0.0280153,0.924247,0.0311941,0.921635,0.0162208,7.66667,2.69037,7.4,3.43927,0.904187,0.0375768,0.762458,0.0583864,0.76258,0.0462362,0.733954,0.0647922,0.750884,0.0677695,0.872794,0.0816522,0.989557,0.00438884,0.979082,0.00711739,0.0346876,0.00626256,0.51902,0.0305513,4
xgboost_tuned,XGBoost (tuned),False,24.8033,0.951309,0.0044278,0.21,0.0219768,0.789479,0.0264391,0.793739,0.0227623,0.793333,0.0228381,0.996667,0.00300359,0.911283,0.0326864,0.926614,0.0288054,0.918218,0.0174274,8.53333,3.13657,7.06667,3.15021,0.900844,0.0363816,0.76671,0.0615097,0.756442,0.0441073,0.704462,0.0582208,0.748927,0.0570936,0.885049,0.064394,0.989624,0.00413095,0.97892,0.00750802,0.0361146,0.00547976,0.524064,0.027603,4
lightgbm,LightGBM,False,68.5852,0.950919,0.00503929,0.210208,0.0193889,0.785956,0.0199566,0.78548,0.0204474,0.7925,0.0194368,0.997292,0.0030951,0.911977,0.031212,0.933725,0.027337,0.922139,0.0170922,8.46667,2.99682,6.33333,2.89499,0.906646,0.0328137,0.755631,0.060353,0.758446,0.0437611,0.73685,0.0616328,0.732513,0.0539284,0.822794,0.0936722,0.988859,0.00394706,0.976787,0.00728236,0.0372459,0.00850869,0.670872,0.0719753,4
xgboost,XGBoost,False,100.699,0.950848,0.00517538,0.210208,0.0211112,0.786536,0.0210482,0.786537,0.0200534,0.792708,0.0207849,0.997083,0.00276161,0.913381,0.0277111,0.932942,0.0273003,0.922636,0.0185608,8.33333,2.66369,6.4,2.82337,0.900864,0.0327839,0.76248,0.0611399,0.761538,0.0449267,0.732476,0.0635431,0.726326,0.0400264,0.835539,0.0798065,0.989571,0.00391277,0.978649,0.00668033,0.0354104,0.00766058,0.563774,0.0532887,4
hist_gb,Histogram gradient boosting (scikit-learn),False,289.9,0.950429,0.00458469,0.212083,0.0208251,0.783431,0.025561,0.781878,0.0240007,0.790625,0.0213913,0.997292,0.00260565,0.907138,0.0293146,0.932296,0.0252281,0.919172,0.019869,8.93333,2.81493,6.4,2.58567,0.905823,0.0330878,0.766753,0.051698,0.75016,0.0422968,0.725414,0.0633568,0.724242,0.0425116,0.818873,0.0884262,0.988519,0.00447568,0.976013,0.00911063,0.0387557,0.00908297,0.692108,0.0758111,4
regression_threshold,Regression with learned cut-points,True,426.183,0.949717,0.0026776,0.221875,0.0132583,0.775408,0.0157832,0.78435,0.0122699,0.780625,0.0137845,0.9975,0.00211289,0.923776,0.0357621,0.90094,0.0328232,0.911441,0.0202036,7.33333,3.4365,9.93333,3.78845,0.919023,0.0338282,0.720902,0.0765638,0.715176,0.0545021,0.736436,0.0733065,0.717992,0.0939351,0.896569,0.0695741,0.99006,0.00368154,0.978757,0.00813871,0.0383526,0.00606426,0.552104,0.0156397,5
logistic,Multinomial logistic regression,False,6.84241,0.936157,0.00459502,0.274583,0.0193313,0.707064,0.0221237,0.710211,0.0229434,0.729583,0.0198652,0.995833,0.00367231,0.914769,0.0344735,0.894562,0.0261302,0.904014,0.0205874,8.2,3.32093,10.4667,3.02056,0.882541,0.032501,0.701461,0.0393847,0.677933,0.0490954,0.666578,0.0623539,0.62197,0.0692391,0.710784,0.116282,0.987706,0.00410225,0.973853,0.00874387,0.0405842,0.00718524,0.645284,0.0320721,1
