feature,importance_mean,importance_std,rank
EstimatedRiskScore,0.242058,0.0125881,1
impact_risk_gap,0.0660562,0.00519368,2
EstimatedImpactScore,0.0359977,0.00409287,3
log_ExpectedFinancialRedressGBP,0.0296181,0.0036625,4
EmotionalImpactLevel_code,0.00838422,0.00370372,5
log_RecoveryTimeMonths,0.0062398,0.00220679,6
log_DurationAffectedDays,0.00527805,0.00330975,7
PredictedRemedyBand_code,0.00347779,0.00152276,8
ExpectedFinancialRedressGBP,0.00295448,0.00151744,9
impact_risk_mean,0.00209449,0.00161109,10
log_financial_loss_total,0.00205719,0.00207854,11
ComplaintCategory,0.00197627,0.000861091,12
NumberOfOrganisationsInvolved,0.00195024,0.000845439,13
OrganisationType,0.00192208,0.00182235,14
emotional_x_logduration,0.00149839,0.00120264,15
case_quarter,0.00148196,0.000999152,16
RepeatedFailurePattern,0.00146821,0.000915998,17
log_AdditionalCostsGBP,0.00138348,0.00124924,18
AdditionalCostsGBP_missing,0.0012627,0.00026635,19
FailureTypePrimary,0.00121118,0.00146966,20
InvestigationRoute,0.00110678,0.000923074,21
AnxietyReported,0.00106748,0.00103019,22
DelayInResolutionDays,0.00104288,0.000917378,23
RecoveryTimeMonths_missing,0.00102329,0.000688984,24
log_DelayInResolutionDays,0.000980325,0.00164408,25
psychological_impact_count,0.000973087,0.000888149,26
log_DirectFinancialLossGBP,0.000926814,0.000787754,27
PhysicalImpactLevel_code,0.000906591,0.00153093,28
LegalChallengePotential,0.000902161,0.00094574,29
ImpactOnRelationships,0.000778366,0.00040722,30
NumberOfServiceFailures,0.000724803,0.000459773,31
VulnerabilityLevel_code,0.000688518,0.00105014,32
has_secondary_failure,0.000642268,0.00073392,33
PrimaryVulnerability_missing,0.000488411,0.000162804,34
AgeBand_code,0.000478763,0.000510893,35
EvidenceStrength_code,0.000434143,0.000217071,36
PrimaryVulnerability,0.000390648,0.00079574,37
DeteriorationInHealth,0.000379917,0.000815463,38
EstimatedImpactScore_missing,0.000352399,0.000923373,39
AdditionalTreatmentRequired,0.000345206,0.000368263,40
ServiceArea,0.000299287,0.00142905,41
SafeguardingConcern,0.000286666,0.000486203,42
RecoveryTimeMonths,0.000242294,0.00065656,43
vulnerability_composite,0.000211167,0.000560432,44
DepressionReported,0.000120285,0.00115096,45
financial_loss_total_gbp,0.000116256,0.00052986,46
CaseComplexityScore,8.4526e-05,0.000930309,47
OrganisationType_missing,6.98613e-05,0.000621104,48
case_month,6.92977e-05,0.000509963,49
ServiceArea_missing,5.67252e-05,0.000170176,50
redress_to_loss_ratio,4.86507e-06,0.000511875,51
FailureTypeSecondary_missing,0,0,52
EmotionalImpactLevel_missing,0,0,53
LongTermImpactFlag,0,0,54
LostIncomeGBP,0,0,55
log_LostIncomeGBP,-3.04263e-08,0.000242761,56
BereavedPerson,-3.85379e-05,0.000465379,57
age_extremity,-4.43962e-05,0.00107037,58
PhysicalImpactLevel_missing,-5.42983e-05,0.000162895,59
MultipleComplaintThemes,-7.49469e-05,0.000331316,60
NumberOfDependentsAffected,-9.3988e-05,0.000356506,61
SleepDisruptionReported,-0.000108597,0.000217193,62
AdditionalCostsGBP,-0.000108597,0.000217193,63
vulnerability_x_impact,-0.000123265,0.000857913,64
DurationAffectedDays,-0.000149579,0.00100209,65
case_dayofweek,-0.000162895,0.000248826,66
EscalatedInternally,-0.000162895,0.000248826,67
RepeatFailuresCount,-0.000203004,0.000251666,68
ExpectedFinancialRedressGBP_missing,-0.000225005,0.000676771,69
case_age_days,-0.000247756,0.000944209,70
delay_to_duration_ratio,-0.000266555,0.000675874,71
Jurisdiction,-0.000286561,0.000475285,72
health_impact_count,-0.000297364,0.000244179,73
PriorComplaintsRaised,-0.000309387,0.00222089,74
FailureTypeSecondary,-0.00034258,0.000829185,75
failure_intensity,-0.000380088,0.000248826,76
Jurisdiction_missing,-0.000442574,0.000363584,77
DirectFinancialLossGBP,-0.000486699,0.000877584,78
impact_level_sum,-0.000514676,0.000229303,79
EvidenceStrength_missing,-0.000531348,0.000177116,80
case_year,-0.000779749,0.000695864,81
failures_per_organisation,-0.00128524,0.00052014,82
