feature,mean_abs_shap_severity
EstimatedRiskScore,0.588595
impact_risk_gap,0.287525
EstimatedImpactScore,0.211304
log_ExpectedFinancialRedressGBP,0.181261
EmotionalImpactLevel_code,0.0788688
log_DurationAffectedDays,0.0772986
PredictedRemedyBand_code,0.0629024
log_RecoveryTimeMonths,0.0580642
log_financial_loss_total,0.043176
EstimatedImpactScore_missing,0.0341508
PhysicalImpactLevel_code,0.0332752
ExpectedFinancialRedressGBP,0.0312308
emotional_x_logduration,0.0306642
DepressionReported,0.0300362
age_extremity,0.0253851
PriorComplaintsRaised,0.0240756
impact_risk_mean,0.0228036
VulnerabilityLevel_code,0.0227067
log_AdditionalCostsGBP,0.0216017
PrimaryVulnerability_Mental Health,0.0208159
AnxietyReported,0.0204278
log_DelayInResolutionDays,0.0198616
case_age_days,0.0186033
FailureTypePrimary_Delay,0.0179172
ExpectedFinancialRedressGBP_missing,0.017662
case_quarter,0.0171525
ComplaintCategory_Communication,0.0170311
DeteriorationInHealth,0.0169634
ImpactOnRelationships,0.0167694
ServiceArea_Justice,0.0166933
