threshold,severe_recall,severe_precision,false_negatives,false_positives,progressed_share,cost_ratio_3,cost_ratio_5,cost_ratio_10
0.02,0.995842,0.705449,2,200,0.424375,0.12875,0.13125,0.1375
0.03,0.993763,0.730887,3,176,0.40875,0.115625,0.119375,0.12875
0.04,0.993763,0.742236,3,166,0.4025,0.109375,0.113125,0.1225
0.05,0.993763,0.763578,3,148,0.39125,0.098125,0.101875,0.11125
0.06,0.993763,0.777236,3,137,0.384375,0.09125,0.095,0.104375
0.07,0.993763,0.787479,3,129,0.379375,0.08625,0.09,0.099375
0.08,0.993763,0.796667,3,122,0.375,0.081875,0.085625,0.095
0.09,0.991684,0.800336,4,119,0.3725,0.081875,0.086875,0.099375
0.1,0.991684,0.80303,4,117,0.37125,0.080625,0.085625,0.098125
0.11,0.989605,0.80678,5,114,0.36875,0.080625,0.086875,0.1025
0.12,0.987526,0.809199,6,112,0.366875,0.08125,0.08875,0.1075
0.13,0.987526,0.818966,6,105,0.3625,0.076875,0.084375,0.103125
0.14,0.987526,0.823224,6,102,0.360625,0.075,0.0825,0.10125
0.15,0.987526,0.826087,6,100,0.359375,0.07375,0.08125,0.1
0.16,0.985447,0.830123,7,97,0.356875,0.07375,0.0825,0.104375
0.17,0.985447,0.835979,7,93,0.354375,0.07125,0.08,0.101875
0.18,0.983368,0.837168,8,92,0.353125,0.0725,0.0825,0.1075
0.19,0.983368,0.838652,8,91,0.3525,0.071875,0.081875,0.106875
0.2,0.981289,0.844365,9,87,0.349375,0.07125,0.0825,0.110625
0.21,0.977131,0.848375,11,84,0.34625,0.073125,0.086875,0.12125
0.22,0.977131,0.84991,11,83,0.345625,0.0725,0.08625,0.120625
0.23,0.977131,0.856102,11,79,0.343125,0.07,0.08375,0.118125
0.24,0.972973,0.863469,13,74,0.33875,0.070625,0.086875,0.1275
0.25,0.968815,0.866171,15,72,0.33625,0.073125,0.091875,0.13875
0.26,0.964657,0.868914,17,70,0.33375,0.075625,0.096875,0.15
0.27,0.964657,0.87218,17,68,0.3325,0.074375,0.095625,0.14875
0.28,0.962578,0.875236,18,66,0.330625,0.075,0.0975,0.15375
0.29,0.962578,0.875236,18,66,0.330625,0.075,0.0975,0.15375
0.3,0.962578,0.878558,18,64,0.329375,0.07375,0.09625,0.1525
0.31,0.962578,0.880228,18,63,0.32875,0.073125,0.095625,0.151875
0.32,0.962578,0.883588,18,61,0.3275,0.071875,0.094375,0.150625
0.33,0.960499,0.885057,19,60,0.32625,0.073125,0.096875,0.15625
0.34,0.95842,0.886538,20,59,0.325,0.074375,0.099375,0.161875
0.35,0.95842,0.888247,20,58,0.324375,0.07375,0.09875,0.16125
0.36,0.952183,0.896282,23,53,0.319375,0.07625,0.105,0.176875
0.37,0.950104,0.896078,24,53,0.31875,0.078125,0.108125,0.183125
0.38,0.948025,0.895874,25,53,0.318125,0.08,0.11125,0.189375
0.39,0.945946,0.897436,26,52,0.316875,0.08125,0.11375,0.195
0.4,0.941788,0.89703,28,52,0.315625,0.085,0.12,0.2075
0.41,0.941788,0.900596,28,50,0.314375,0.08375,0.11875,0.20625
0.42,0.941788,0.900596,28,50,0.314375,0.08375,0.11875,0.20625
0.43,0.93763,0.9002,30,50,0.313125,0.0875,0.125,0.21875
0.44,0.935551,0.903614,31,48,0.31125,0.088125,0.126875,0.22375
0.45,0.935551,0.903614,31,48,0.31125,0.088125,0.126875,0.22375
0.46,0.935551,0.910931,31,44,0.30875,0.085625,0.124375,0.22125
0.47,0.933472,0.91446,32,42,0.306875,0.08625,0.12625,0.22625
0.48,0.933472,0.9182,32,40,0.305625,0.085,0.125,0.225
0.49,0.931393,0.919918,33,39,0.304375,0.08625,0.1275,0.230625
0.5,0.931393,0.921811,33,38,0.30375,0.085625,0.126875,0.23
0.51,0.931393,0.92562,33,36,0.3025,0.084375,0.125625,0.22875
0.52,0.929314,0.927386,34,35,0.30125,0.085625,0.128125,0.234375
0.53,0.929314,0.927386,34,35,0.30125,0.085625,0.128125,0.234375
0.54,0.929314,0.933194,34,32,0.299375,0.08375,0.12625,0.2325
