number,cv_qwk,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,cv_severe_recall,duration,best_so_far
0,0.949654,0.577997,0.172547,26,450,48,1.59941,0.130667,0.662407,0.916838,0 days 00:00:06.928652,0.949654
1,0.948186,0.60617,0.0834111,39,650,8,0.00476879,0.23102,0.932977,0.912672,0 days 00:00:14.622917,0.949654
2,0.948652,0.569747,0.0481641,15,400,31,0.0226549,0.383963,0.844741,0.908548,0 days 00:00:16.592343,0.949654
3,0.947814,0.523225,0.105084,23,500,18,0.0042733,1.64093,0.836966,0.906422,0 days 00:00:18.565740,0.949654
4,0.948326,0.548836,0.171604,34,200,62,0.0424728,2.33596,0.721846,0.914777,0 days 00:00:07.076094,0.949654
5,0.950252,0.831261,0.0440798,37,250,8,0.0838911,0.420167,0.703512,0.916838,0 days 00:00:06.242816,0.950252
6,0.948714,0.947414,0.0173981,32,600,62,2.57031,1.56964,0.9758,0.912693,0 days 00:00:14.589189,0.950252
7,0.953146,0.635675,0.0179879,16,250,9,0.0208747,4.54438,0.755471,0.920984,0 days 00:00:05.920987,0.953146
8,0.949594,0.993443,0.0508234,33,400,15,0.00543305,3.5034,0.62982,0.910588,0 days 00:00:12.198193,0.953146
9,0.948628,0.537022,0.115064,31,200,47,0.00268285,0.521112,0.908508,0.906443,0 days 00:00:07.877800,0.953146
10,0.951983,0.735384,0.0170031,21,550,21,0.00468246,6.56297,0.693391,0.920984,0 days 00:00:15.737395,0.953146
11,0.951523,0.676744,0.0183477,17,350,8,0.15222,3.20522,0.748408,0.921005,0 days 00:00:07.915829,0.953146
12,0.950335,0.680545,0.0159578,15,750,20,0.0108098,2.2812,0.880837,0.910588,0 days 00:00:26.967705,0.953146
13,0.951475,0.907361,0.0149797,25,600,30,0.00641549,6.08929,0.654341,0.916838,0 days 00:00:22.893854,0.953146
14,0.95197,0.764602,0.0132551,13,300,30,0.00120991,9.95915,0.656194,0.914755,0 days 00:00:13.330599,0.953146
15,0.949865,0.706127,0.0310421,24,700,8,0.00575175,6.7942,0.71128,0.912693,0 days 00:00:23.412675,0.953146
16,0.952527,0.6714,0.0113806,22,350,35,0.00483314,3.53924,0.631259,0.916838,0 days 00:00:13.816101,0.953146
17,0.951809,0.785373,0.0195471,27,400,36,0.00266911,1.03917,0.611065,0.918922,0 days 00:00:16.893344,0.953146
18,0.951422,0.671053,0.021741,14,400,48,0.0217395,4.86931,0.729145,0.914755,0 days 00:00:20.432146,0.953146
19,0.95184,0.588894,0.0133929,17,250,22,0.119599,9.46486,0.695013,0.916838,0 days 00:00:10.061587,0.953146
20,0.95082,0.559796,0.0167805,12,450,9,0.0248984,4.04553,0.753054,0.914755,0 days 00:00:21.337669,0.953146
21,0.951316,0.512348,0.0158516,17,300,15,0.0753027,2.35323,0.802238,0.914755,0 days 00:00:20.632739,0.953146
22,0.951983,0.788903,0.017683,21,200,15,0.0135457,3.9709,0.648774,0.91265,0 days 00:00:10.134263,0.953146
23,0.951357,0.652285,0.0148167,28,450,48,0.00237263,3.34505,0.695069,0.918922,0 days 00:00:23.305174,0.953146
24,0.951234,0.669926,0.018122,19,250,23,0.0101151,7.18471,0.76845,0.914734,0 days 00:00:11.362651,0.953146
25,0.951978,0.569732,0.0168543,20,300,10,0.00302861,4.52512,0.630865,0.9189,0 days 00:00:10.433553,0.953146
26,0.951975,0.742537,0.0163693,16,200,19,0.0719232,5.41351,0.606036,0.910567,0 days 00:00:07.557363,0.953146
27,0.951304,0.675721,0.0292748,21,200,7,0.0139987,3.98029,0.825087,0.923067,0 days 00:00:06.269902,0.953146
28,0.950675,0.833891,0.0115922,17,200,29,0.0301497,5.5853,0.625124,0.908527,0 days 00:00:07.303383,0.953146
29,0.952487,0.541664,0.0146172,21,350,20,0.015888,7.38751,0.707493,0.914755,0 days 00:00:15.160345,0.953146
30,0.95264,0.607099,0.0109104,25,300,32,0.00251076,3.61345,0.633053,0.914755,0 days 00:00:11.102914,0.953146
31,0.951268,0.672036,0.0118083,29,400,38,0.00424677,9.82479,0.614729,0.916817,0 days 00:00:11.372239,0.953146
32,0.951477,0.595396,0.0124116,17,400,38,0.00359716,2.42828,0.656578,0.914755,0 days 00:00:16.930004,0.953146
33,0.952527,0.67693,0.0124312,24,300,34,0.00457221,2.31586,0.657338,0.912672,0 days 00:00:11.415933,0.953146
34,0.951317,0.610996,0.0100574,29,500,32,0.00349966,2.74317,0.628202,0.9189,0 days 00:00:16.415621,0.953146
35,0.951878,0.71215,0.0117632,19,350,36,0.00288316,5.93263,0.641547,0.91265,0 days 00:00:12.188543,0.953146
36,0.95164,0.541708,0.0113405,21,200,48,0.00286145,1.62347,0.692817,0.910588,0 days 00:00:09.564464,0.953146
37,0.951086,0.60771,0.0109704,29,250,24,0.00384864,6.4867,0.613215,0.910588,0 days 00:00:07.502533,0.953146
38,0.951201,0.567807,0.0115047,26,400,38,0.00132047,5.50789,0.640231,0.914755,0 days 00:00:15.221995,0.953146
39,0.952425,0.608487,0.0121312,20,300,39,0.028291,3.39484,0.648215,0.923067,0 days 00:00:11.200257,0.953146
