number,cv_qwk,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,cv_severe_recall,duration,best_so_far
0,0.948945,0.577997,0.172547,6,6,450,1.59941,0.130667,0.662407,0.910631,0 days 00:00:23.554607,0.948945
1,0.947976,0.60617,0.0834111,2,10,650,0.00476879,0.23102,0.932977,0.910588,0 days 00:00:26.881766,0.948945
2,0.951136,0.569747,0.0481641,4,3,400,0.0226549,0.383963,0.844741,0.918943,0 days 00:00:24.175063,0.951136
3,0.947512,0.523225,0.105084,3,6,500,0.0042733,1.64093,0.836966,0.910588,0 days 00:00:24.161863,0.951136
4,0.948721,0.548836,0.171604,7,9,200,0.0424728,2.33596,0.721846,0.91686,0 days 00:00:11.972886,0.951136
5,0.951975,0.831261,0.0440798,2,10,250,0.0838911,0.420167,0.703512,0.914755,0 days 00:00:12.701953,0.951975
6,0.949953,0.947414,0.0173981,7,8,600,2.57031,1.56964,0.9758,0.91061,0 days 00:00:49.411875,0.951975
7,0.950344,0.635675,0.0179879,2,4,250,0.0208747,4.54438,0.755471,0.906422,0 days 00:00:12.545520,0.951975
8,0.951473,0.993443,0.0508234,2,9,400,0.00543305,3.5034,0.62982,0.920984,0 days 00:00:19.229728,0.951975
9,0.949914,0.537022,0.115064,6,8,200,0.00268285,0.521112,0.908508,0.908548,0 days 00:00:13.642284,0.951975
10,0.951393,0.900238,0.0269995,2,8,350,0.00839654,0.194752,0.956957,0.918922,0 days 00:00:17.703015,0.951975
11,0.948882,0.982167,0.0718517,2,10,400,0.0109178,0.721237,0.649966,0.912672,0 days 00:00:18.614176,0.951975
12,0.951875,0.972432,0.0620335,2,6,200,0.00206181,4.84136,0.670761,0.91061,0 days 00:00:10.595839,0.951975
13,0.951185,0.898245,0.0419716,2,5,250,0.0544985,0.182419,0.612472,0.918922,0 days 00:00:13.034158,0.951975
14,0.950937,0.837484,0.122494,2,6,250,0.00256898,1.99723,0.685804,0.916838,0 days 00:00:12.233920,0.951975
15,0.949588,0.867683,0.088568,3,8,200,0.00818949,4.92051,0.697324,0.916838,0 days 00:00:11.999374,0.951975
16,0.951004,0.935013,0.0662864,2,8,250,0.00350785,0.492099,0.802902,0.914755,0 days 00:00:12.720538,0.951975
17,0.950023,0.820191,0.0288757,2,9,250,0.0531271,3.06408,0.660498,0.906443,0 days 00:00:12.420997,0.951975
18,0.950044,0.882733,0.078437,2,6,400,0.0520274,4.13236,0.731349,0.914755,0 days 00:00:18.847755,0.951975
19,0.950851,0.89687,0.0468108,2,9,200,0.00488,1.84454,0.711613,0.908505,0 days 00:00:11.130769,0.951975
20,0.951208,0.83112,0.029284,2,8,250,0.322981,0.443575,0.705584,0.906422,0 days 00:00:12.628285,0.951975
21,0.952019,0.949955,0.0416937,2,6,350,0.0178795,2.10062,0.755734,0.921005,0 days 00:00:17.108380,0.952019
22,0.951246,0.954379,0.0538458,3,2,200,0.0121494,3.30755,0.638316,0.918943,0 days 00:00:14.006906,0.952019
23,0.950541,0.901432,0.0554894,3,7,350,0.00197463,4.10289,0.72109,0.9189,0 days 00:00:19.921076,0.952019
24,0.950729,0.939578,0.07888,2,6,200,0.065657,1.42599,0.699495,0.914777,0 days 00:00:10.464529,0.952019
25,0.9516,0.810793,0.0362248,2,9,250,0.255283,2.54624,0.747552,0.908505,0 days 00:00:12.713537,0.952019
26,0.949965,0.935228,0.108868,2,5,300,0.0021395,6.44272,0.757184,0.91265,0 days 00:00:14.520523,0.952019
27,0.951874,0.852971,0.0469793,2,5,350,0.00849674,4.88532,0.699307,0.916838,0 days 00:00:16.423856,0.952019
28,0.952657,0.998471,0.0341749,2,5,250,0.00418139,5.17271,0.686231,0.908527,0 days 00:00:14.123644,0.952657
29,0.953191,0.956291,0.0372447,2,3,200,0.0039068,2.06456,0.696353,0.910588,0 days 00:00:10.918891,0.953191
30,0.949593,0.92938,0.0421785,2,3,400,0.0184164,1.66529,0.777385,0.914777,0 days 00:00:19.982271,0.953191
31,0.951002,0.962701,0.0259819,3,4,300,0.00562549,9.7786,0.634456,0.91061,0 days 00:00:19.381559,0.953191
32,0.949063,0.950356,0.0171821,3,6,250,0.00168368,3.71814,0.678576,0.908505,0 days 00:00:16.309416,0.953191
33,0.952332,0.965456,0.0288958,2,3,300,0.00609218,0.814855,0.69417,0.912693,0 days 00:00:11.748161,0.953191
34,0.951658,0.992271,0.0293671,2,2,300,0.00331454,0.888479,0.756468,0.908527,0 days 00:00:12.455473,0.953191
35,0.951759,0.89215,0.0287286,2,6,350,0.00112518,5.08238,0.654794,0.912693,0 days 00:00:12.645105,0.953191
36,0.951338,0.861982,0.0220938,3,4,300,0.00860146,1.48571,0.680996,0.916838,0 days 00:00:14.121211,0.953191
